id,datum,nove_pripady,nove_reinfekce,pripady_neockovani_neprodelali,pripady_neockovani_prodelali,pripady_ockovani_neprodelali,pripady_ockovani_prodelali,hospitalizace_bez_reinfekce,hospitalizace_vcetne_reinfekce,hospitalizace_pouze_reinfekce,nove_hospitalizace,nove_hospitalizace_komplet,hospitalizace_neockovani_neprodelali,hospitalizace_neockovani_prodelali,hospitalizace_ockovani_neprodelali,hospitalizace_ockovani_prodelali,jip_bez_reinfekce,jip_vcetne_reinfekce,jip_pouze_reinfekce,nove_jip,nove_jip_komplet,jip_neockovani_neprodelali,jip_neockovani_prodelali,jip_ockovani_neprodelali,jip_ockovani_prodelali
518aaf3d-f24e-4bee-9ca0-d5026efe162b,2020-05-07,59,,59,,,,191,191,,10,11,191,,,,36,36,,3,3,36,,,
26622172-e211-4516-a8e5-0e29d35eaff6,2020-05-08,46,,46,,,,185,185,,9,11,185,,,,40,40,,6,3,40,,,
b1898533-ba05-4553-b039-1cb300fb5ce2,2020-05-09,18,,18,,,,173,173,,6,6,173,,,,34,34,,,,34,,,
0b28a7d1-0e61-465e-bfdb-10ce3aea76b5,2020-05-10,28,,28,,,,167,167,,4,5,167,,,,34,34,,1,1,34,,,
98b99bc7-7f5e-4f0e-9568-23b5c1421bc2,2020-05-11,58,,58,,,,167,167,,5,7,167,,,,35,35,,,1,35,,,
89d6b738-d267-4779-9518-711b855a2fa4,2020-05-12,45,,45,,,,157,157,,5,9,157,,,,32,32,,2,2,32,,,
b0c6faf1-aad9-4a37-b2fe-6720643ddebc,2020-05-13,52,,52,,,,147,147,,7,7,147,,,,29,29,,3,2,29,,,
d7a1dca4-d871-4f4b-b0a3-58bf511bbba2,2020-05-14,82,,82,,,,128,128,,5,5,128,,,,29,29,,,,29,,,
8b7514cc-5ef2-4cb8-afc8-b34987b4cc30,2020-05-15,55,,55,,,,118,118,,3,3,118,,,,29,29,,3,1,29,,,
d74bd7c9-d7a4-4dfe-ac09-1389ce32409e,2020-05-16,51,,51,,,,112,112,,3,4,112,,,,28,28,,3,2,28,,,
54b63c0f-de0e-4e6c-b5ee-8248f57061c0,2020-05-17,20,,20,,,,110,110,,1,8,110,,,,28,28,,1,,28,,,
c250c40a-c91c-40d0-85fb-f09d93e2849d,2020-05-18,115,,115,,,,115,115,,9,10,115,,,,29,29,,2,2,29,,,
21b3b146-7044-4057-b139-8d85bc3df148,2020-05-19,63,,63,,,,109,109,,4,4,109,,,,26,26,,,,26,,,
279a7a90-7888-4058-9f84-a1c4588028f8,2020-05-20,75,,75,,,,101,101,,5,5,101,,,,25,25,,1,1,25,,,
809b212a-5dd0-4bbf-86b5-92c902dbc26c,2020-05-21,36,,36,,,,101,101,,7,7,101,,,,23,23,,,,23,,,
6b1127de-3c7d-4b20-92d4-ed1967872578,2020-05-22,61,,61,,,,98,98,,6,6,98,,,,17,17,,,,17,,,
60acf710-cbef-4745-b5d4-ec63ad1b4a2f,2020-05-23,77,,77,,,,93,93,,4,4,93,,,,18,18,,1,1,18,,,
22ca7cea-3034-4f5a-b415-edc76c0db105,2020-05-24,65,,65,,,,94,94,,5,5,94,,,,19,19,,1,1,19,,,
e93637fc-89fe-43ed-815c-e379e4da477f,2020-05-25,47,,47,,,,91,91,,3,4,91,,,,18,18,,1,1,18,,,
ec0b2c01-ebf3-4797-b778-e511a1aa560a,2020-05-26,52,,52,,,,91,91,,7,7,91,,,,16,16,,,,16,,,
d5ef4ca6-c67f-4da9-bf7f-b2068023065a,2020-05-27,37,,37,,,,86,86,,4,4,86,,,,16,16,,1,,16,,,
87bada20-5144-4a92-b6ce-80bde1de803e,2020-05-28,54,,54,,,,74,74,,4,4,74,,,,13,13,,,,13,,,
57838183-d04e-4200-9fc7-600680e2ce03,2020-05-29,57,,57,,,,71,71,,3,3,71,,,,12,12,,1,1,12,,,
f12aedf4-c0c7-44fe-9c9f-6fac3d1fc952,2020-05-30,34,,34,,,,72,72,,8,8,72,,,,12,12,,1,1,12,,,
df9d303e-14d0-4fce-bc0a-5c9596854eef,2020-05-31,38,,38,,,,70,70,,2,2,70,,,,11,11,,,,11,,,
ba1d429a-a03d-46bc-ae9f-199f6249e860,2020-06-01,34,,34,,,,73,73,,4,5,73,,,,11,11,,1,,11,,,
