datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,kumulativni_pocet_ag_testu,prirustkovy_pocet_nakazenych,prirustkovy_pocet_vylecenych,prirustkovy_pocet_umrti,prirustkovy_pocet_provedenych_testu,prirustkovy_pocet_provedenych_ag_testu,kumulativni_pocet_nove_nakazenych_primoinfekce,kumulativni_pocet_nove_nakazenych_reinfekce,prirustkovy_pocet_nove_nakazenych_primoinfekce,prirustkovy_pocet_nove_nakazenych_reinfekce
2023-12-14,4727275,4659821,43225,22189714,34890165,2670,3424,16,586,6195,4287538,439737,1470,1200
2023-12-15,4729669,4662318,43237,22190374,34895813,2394,2497,12,660,5648,4288888,440781,1350,1044
2023-12-16,4729874,4664624,43246,22190545,34896272,205,2306,9,171,459,4289029,440845,141,64
2023-12-17,4730103,4666762,43249,22190678,34896783,229,2138,3,133,511,4289196,440907,167,62
2023-12-18,4733805,4668905,43259,22191458,34905824,3702,2143,10,780,9041,4291218,442587,2022,1680
2023-12-19,4736282,4669155,43266,22192131,34912344,2477,250,7,673,6520,4292612,443670,1394,1083
2023-12-20,4738468,4669448,43274,22192767,34918116,2186,293,8,636,5772,4293838,444630,1226,960
2023-12-21,4740490,4673805,43281,22193374,34923392,2022,4357,7,607,5276,4295033,445457,1195,827
2023-12-22,4742045,4676746,43292,22193997,34927641,1555,2941,11,623,4249,4295972,446073,939,616
2023-12-23,4742260,4679617,43309,22194170,34928164,215,2871,17,173,523,4296129,446131,157,58
2023-12-24,4742427,4682176,43321,22194278,34928620,167,2559,12,108,456,4296255,446172,126,41
2023-12-25,4742652,4684467,43325,22194592,34929192,225,2291,4,314,572,4296417,446235,162,63
2023-12-26,4742851,4684707,43330,22194754,34929656,199,240,5,162,464,4296572,446279,155,44
2023-12-27,4744426,4684993,43341,22195708,34935015,1575,286,11,954,5359,4297472,446954,900,675
2023-12-28,4745552,4688532,43350,22196307,34939044,1126,3539,9,599,4029,4298118,447434,646,480
2023-12-29,4746557,4690929,43360,22196896,34942260,1005,2397,10,589,3216,4298705,447852,587,418
2023-12-30,4746675,4693033,43367,22197021,34942634,118,2104,7,125,374,4298790,447885,85,33
2023-12-31,4746787,4694907,43372,22197153,34943028,112,1874,5,132,394,4298867,447920,77,35
2024-01-01,4746904,4696340,43379,22197284,34943416,117,1433,7,131,388,4298942,447962,75,42
2024-01-02,4748518,4696597,43391,22198193,34950592,1614,257,12,909,7176,4299833,448685,891,723
2024-01-03,4749555,4696809,43401,22198832,34955987,1037,212,10,639,5395,4300412,449143,579,458
2024-01-04,4750350,4697051,43406,22199438,34960389,795,242,5,606,4402,4300846,449504,434,361
2024-01-05,4751059,4697292,43420,22199981,34964367,709,241,14,543,3978,4301247,449812,401,308
2024-01-06,4751124,4698696,43426,22200112,34964667,65,1404,6,131,300,4301289,449835,42,23
2024-01-07,4751207,4699776,43430,22200240,34964957,83,1080,4,128,290,4301339,449868,50,33
2024-01-08,4751937,4700696,43434,22200916,34970292,730,920,4,676,5335,4301736,450201,397,333
2024-01-09,4752382,4700856,43439,22201418,34973566,445,160,5,502,3274,4301989,450393,253,192
2024-01-10,4752754,4701007,43446,22201878,34976555,372,151,7,460,2989,4302218,450536,229,143
2024-01-11,4753070,4701133,43449,22202320,34979363,316,126,3,442,2808,4302393,450677,175,141
2024-01-12,4753377,4702562,43452,22202781,34982080,307,1429,3,461,2717,4302576,450801,183,124
2024-01-13,4753412,4703548,43456,22202908,34982334,35,986,4,127,254,4302603,450809,27,8
2024-01-14,4753455,4704287,43462,22203012,34982624,43,739,6,104,290,4302636,450819,33,10
